cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/25/2016,10/31/2016,"Google Consumer Surveys","B",24316,"lv",6.139129,37.69,35.07,6.18,,42.6414,40.86509,5.675099,,"","https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS",47940,74999,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/27/2016,10/30/2016,"ABC News/Washington Post","A+",1128,"lv",4.197292,45,46,3,,43.29659,44.72984,3.401513,,"","http://www.langerresearch.com/wp-content/uploads/1184a102016ElectionTrackingNo10.pdf",47881,74936,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Virginia",10/27/2016,10/30/2016,"ABC News/Washington Post","A+",1024,"lv",3.876856,48,42,6,,46.29779,40.72604,6.401513,,"","https://www.washingtonpost.com/local/virginia-politics/clinton-leads-trump-in-virginia-in-new-washington-post-poll-propelled-by-voter-rich-northern-virginia/2016/10/31/1e560cce-9f9c-11e6-8832-23a007c77bb4_story.html",47880,74934,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/20/2016,10/24/2016,"SurveyUSA","A",1251,"lv",3.403096,48,45,2,,46.35931,45.30585,1.77773,,"","http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html#pdfs",47465,74252,10/25/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/20/2016,10/25/2016,"Pew Research Center","B+",2120,"rv",3.394646,46,40,6,,45.32744,42.20888,3.61832,,"","http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/",47616,74519,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/22/2016,10/25/2016,"Fox News/Anderson Robbins Research/Shaw & Company Research","A",1221,"lv",3.346535,44,41,7,,44.6508,42.26663,6.114222,,"","http://www.foxnews.com/politics/interactive/2016/10/26/fox-news-poll-october-26-2016/",47542,74365,10/26/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/26/2016,10/31/2016,"IBD/TIPP","A-",1018,"lv",3.275062,44.6,43.7,4.2,,46.21834,43.56017,3.15359,,"","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/",47875,74925,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Pennsylvania",10/25/2016,10/30/2016,"Gravis Marketing","B-",3217,"rv",3.21775,47,44,3,,46.89049,43.50333,3.466432,,"","http://www.breitbart.com/2016-presidential-race/2016/10/31/exclusive-breitbartgravis-pennsylvania-poll-clinton-holds-slight/",47867,74909,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/23/2016,10/27/2016,"Ipsos","A-",1158,"lv",3.144926,41.7,36.4,6.3,,41.22576,37.24948,6.420006,,"","http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1",47643,74599,10/28/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/29/2016,10/31/2016,"The Times-Picayune/Lucid","",2600,"lv",3.044326,42,40,5,,42.21983,41.6954,4.220173,,"","https://luc.id/2016-presidential-tracker/",47995,75055,11/1/16,"15:09:38  1 Nov 2016"
