date_t,cnt
2012-12-31,
2013-01-01,
2013-01-02,68.0
2013-01-03,36.0
2013-01-04,5565.0
2013-01-05,4966.0
2013-01-06,3346.0
2013-01-07,3396.0
2013-01-08,4146.0
2013-01-09,3096.0
2013-01-10,2713.0
2013-01-11,2409.0
2013-01-12,275.0
2013-01-13,
2013-01-14,2735.0
2013-01-15,2386.0
2013-01-16,1901.0
2013-01-17,6072.0
2013-01-18,2716.0
2013-01-19,216.0
2013-01-20,22.0
2013-01-21,3903.0
2013-01-22,2700.0
2013-01-23,2700.0
2013-01-24,2073.0
2013-01-25,1702.0
2013-01-26,231.0
2013-01-27,
2013-01-28,3377.0
2013-01-29,3016.0
2013-01-30,2586.0
2013-01-31,1652.0
2013-02-01,2726.0
2013-02-02,279.0
2013-02-03,23.0
2013-02-04,4094.0
2013-02-05,4059.0
2013-02-06,3741.0
2013-02-07,2567.0
2013-02-08,761.0
2013-02-09,
2013-02-10,
2013-02-11,
2013-02-12,
2013-02-13,
2013-02-14,19.0
2013-02-15,13.0
2013-02-16,2847.0
2013-02-17,2936.0
2013-02-18,2377.0
2013-02-19,1740.0
2013-02-20,2563.0
2013-02-21,1896.0
2013-02-22,1552.0
2013-02-23,186.0
2013-02-24,
2013-02-25,1874.0
2013-02-26,1844.0
2013-02-27,1919.0
2013-02-28,1191.0
2013-03-01,1816.0
2013-03-02,87.0
2013-03-03,
2013-03-04,1843.0
2013-03-05,1900.0
2013-03-06,1615.0
2013-03-07,1461.0
2013-03-08,1514.0
2013-03-09,180.0
2013-03-10,41.0
2013-03-11,1933.0
2013-03-12,1812.0
2013-03-13,1763.0
2013-03-14,1386.0
2013-03-15,1345.0
2013-03-16,113.0
2013-03-17,
2013-03-18,1797.0
2013-03-19,1889.0
2013-03-20,1445.0
2013-03-21,1452.0
2013-03-22,1559.0
2013-03-23,198.0
2013-03-24,
2013-03-25,1739.0
2013-03-26,1794.0
2013-03-27,1464.0
2013-03-28,1279.0
2013-03-29,1601.0
2013-03-30,171.0
2013-03-31,22.0
2013-04-01,744.0
2013-04-02,2424.0
2013-04-03,1959.0
2013-04-04,60.0
2013-04-05,51.0
2013-04-06,30.0
2013-04-07,1929.0
2013-04-08,1745.0
2013-04-09,2143.0
2013-04-10,1709.0
2013-04-11,1294.0
2013-04-12,1527.0
2013-04-13,198.0
2013-04-14,
2013-04-15,2164.0
2013-04-16,1631.0
2013-04-17,1859.0
2013-04-18,1447.0
2013-04-19,1514.0
2013-04-20,137.0
2013-04-21,36.0
2013-04-22,2104.0
2013-04-23,1584.0
2013-04-24,1449.0
2013-04-25,1102.0
2013-04-26,1774.0
2013-04-27,1462.0
2013-04-28,1626.0
2013-04-29,73.0
2013-04-30,
2013-05-01,
2013-05-02,2484.0
2013-05-03,1723.0
2013-05-04,104.0
2013-05-05,
2013-05-06,2427.0
2013-05-07,2587.0
2013-05-08,2220.0
2013-05-09,1142.0
2013-05-10,1934.0
2013-05-11,121.0
2013-05-12,23.0
2013-05-13,2509.0
2013-05-14,2284.0
2013-05-15,2068.0
2013-05-16,1088.0
2013-05-17,2030.0
2013-05-18,38.0
2013-05-19,
2013-05-20,1940.0
2013-05-21,2342.0
2013-05-22,5581.0
2013-05-23,2333.0
2013-05-24,1931.0
2013-05-25,140.0
2013-05-26,
2013-05-27,1794.0
2013-05-28,2055.0
2013-05-29,1658.0
2013-05-30,1497.0
2013-05-31,1161.0
2013-06-01,113.0
2013-06-02,14.0
2013-06-03,2374.0
2013-06-04,1885.0
2013-06-05,1606.0
2013-06-06,1690.0
2013-06-07,1354.0
2013-06-08,1266.0
2013-06-09,1309.0
2013-06-10,89.0
2013-06-11,
2013-06-12,
2013-06-13,2265.0
2013-06-14,1721.0
